SEDE,FACULTAD,NOMBRE_MUNI_VIVE,PROGRAMA,PROB_RIESGO,DECIL_RIESGO
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE SISTEMAS - REGION,0.9467,10
APARTADO,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA SANITARIA-APARTADO,0.9466,10
MEDELLIN,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA DE SISTEMAS - REGION,0.9462,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA BIOQUIMICA-URABA,0.946,10
MEDELLIN,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA DE SISTEMAS - REGION,0.9455,10
CARMENVI,FACULTAD DE CIENCIAS ECONOMICAS,MARINILLA,GESTION EN ECOLOGIA Y TURISMO - CARMEN DE VIBORAL,0.9452,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA INDUSTRIAL REGION,0.9444,10
CAREPA,FACULTAD DE INGENIERIA,TURBO,INGENIERIA AGROINDUSTRIAL-URABA,0.9442,10
TURBO,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,TURBO,OCEANOGRAFIA - TURBO,0.9437,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA INDUSTRIAL REGION,0.9432,10
CARMENVI,FACULTAD DE CIENCIAS ECONOMICAS,EL CARMEN DE VIBORAL,GESTION EN ECOLOGIA Y TURISMO - CARMEN DE VIBORAL,0.9426,10
CAREPA,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA AGROINDUSTRIAL-URABA,0.9424,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA AMBIENTAL REGION,0.9423,10
MEDELLIN,FACULTAD DE CIENCIAS AGRARIAS,CAUCASIA,TECNOLOGIA EN GESTION DE INSUMOS AGROPECUARIOS,0.9418,10
CARMENVI,FACULTAD DE CIENCIAS AGRARIAS,GUARNE,INGENIERIA AGROPECUARIA - CARMEN DE VIBORAL,0.9416,10
TURBO,FACULTAD DE INGENIERIA,TURBO,INGENIERIA OCEANOGRAFICA - TURBO,0.9416,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA AMBIENTAL REGION,0.9414,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA BIOQUIMICA-URABA,0.9399,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA AMBIENTAL REGION,0.9391,10
CAREPA,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA BIOQUIMICA-URABA,0.939,10
MEDELLIN,FACULTAD DE CIENCIAS AGRARIAS,PUERTO BERRIO,TECNOLOGIA EN GESTION DE INSUMOS AGROPECUARIOS,0.9384,10
SEGOVIA,FACULTAD NACIONAL DE SALUD PUBLICA,SEGOVIA,ADMINISTRACION AMBIENTAL Y SANITARIA- SEGOVIA,0.9383,10
MEDELLIN,FACULTAD DE INGENIERIA,SAN PEDRO DE URABA,INGENIERIA DE SISTEMAS - REGION,0.9382,10
CAREPA,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA AGROINDUSTRIAL-URABA,0.9376,10
CARMENVI,FACULTAD DE CIENCIAS ECONOMICAS,MEDELLIN,GESTION EN ECOLOGIA Y TURISMO - CARMEN DE VIBORAL,0.9376,10
APARTADO,FACULTAD DE INGENIERIA,TURBO,INGENIERIA CIVIL-APARTADO,0.9374,10
TURBO,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,TURBO,ECOLOGIA DE ZONAS COSTERAS - TURBO,0.9373,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA AMBIENTAL REGION,0.9357,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA BIOQUIMICA-URABA,0.9355,10
CAREPA,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA BIOQUIMICA-URABA,0.9355,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA AMBIENTAL REGION,0.9354,10
MEDELLIN,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9354,10
SONSON,FACULTAD DE CIENCIAS AGRARIAS,SONSON,INGENIERIA AGROPECUARIA - SONSON,0.9334,10
TURBO,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,TURBO,OCEANOGRAFIA - TURBO,0.9331,10
MEDELLIN,FACULTAD DE INGENIERIA,SAN PEDRO DE URABA,INGENIERIA AMBIENTAL REGION,0.9321,10
CAUCASIA,FACULTAD DE CIENCIAS ECONOMICAS,CACERES,CONTADURIA PUBLICA- CAUCASIA,0.9318,10
CAUCASIA,FACULTAD DE CIENCIAS AGRARIAS,BUENAVISTA,INGENIERIA AGROPECUARIA - CAUCASIA,0.9318,10
CARMENVI,FACULTAD DE CIENCIAS ECONOMICAS,MEDELLIN,ADMINISTRACION DE EMPRESAS - CARMEN DE VIBORAL,0.9311,10
CARMENVI,FACULTAD DE CIENCIAS ECONOMICAS,EL CARMEN DE VIBORAL,DESARROLLO TERRITORIAL- CARMEN DE VIBORAL,0.931,10
APARTADO,FACULTAD DE INGENIERIA,TURBO,INGENIERIA CIVIL-APARTADO,0.9308,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA BIOQUIMICA-URABA,0.9308,10
CAREPA,FACULTAD DE INGENIERIA,TURBO,INGENIERIA BIOQUIMICA-URABA,0.9306,10
MEDELLIN,FACULTAD DE INGENIERIA,MEDELLIN,INGENIERIA AMBIENTAL REGION,0.9305,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE SISTEMAS - REGION,0.9305,10
CAREPA,FACULTAD DE CIENCIAS AGRARIAS,TURBO,INGENIERIA AGROPECUARIA-CAREPA,0.9302,10
MEDELLIN,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA INDUSTRIAL REGION,0.93,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE SISTEMAS - REGION,0.9297,10
APARTADO,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA SANITARIA-APARTADO,0.9296,10
CAREPA,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA AGROINDUSTRIAL-URABA,0.929,10
CARMENVI,FACULTAD DE CIENCIAS AGRARIAS,RIONEGRO,INGENIERIA AGROPECUARIA - CARMEN DE VIBORAL,0.929,10
MEDELLIN,FACULTAD DE INGENIERIA,NECOCLI,INGENIERIA DE TELECOMUNICACIONES REGION,0.9289,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9288,10
MEDELLIN,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA AMBIENTAL REGION,0.9287,10
MEDELLIN,FACULTAD DE INGENIERIA,SAN PEDRO DE URABA,INGENIERIA AMBIENTAL REGION,0.9286,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE SISTEMAS - REGION,0.9278,10
